City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Bubaque,GW,83.26,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
13,Mumford,GH,80.69,broken clouds,5.2618,-0.759,Spanish Villa
16,Gigmoto,PH,79.88,overcast clouds,13.7796,124.39,Cj's Travellers Inn
20,Rikitea,PF,76.42,clear sky,-23.1203,-134.9692,People ThankYou
23,Georgetown,MY,75.88,moderate rain,5.4112,100.3354,Cititel Penang
24,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
25,Butaritari,KI,81.21,light rain,3.0707,172.7902,Isles Sunset Lodge
26,Salinas,US,77.2,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
28,Salta,AR,82.69,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
32,Esna,EG,77.4,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
46,Emerald,AU,75.97,overcast clouds,-23.5333,148.1667,The Irish Village
48,Cairns,AU,79.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
52,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Atuona,PF,78.39,light rain,-9.8,-139.0333,Villa Enata
66,Dodge City,US,80.11,clear sky,37.7528,-100.0171,Windsor Inn & Suites
67,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
68,Andros Town,BS,75.16,overcast clouds,24.7,-77.7667,Hanks place
71,Hambantota,LK,77.63,broken clouds,6.1241,81.1185,Bungalow 63
81,Nobres,BR,85.98,overcast clouds,-14.7203,-56.3275,Hotel Portal Nobres
83,Cabo San Lucas,MX,87.1,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
88,Luanda,AO,78.49,overcast clouds,-8.8368,13.2343,Hotel Fórum
89,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
90,Makakilo City,US,76.69,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
91,Faanui,PF,80.22,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
100,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
103,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
104,Caravelas,BR,81.0,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
106,Bandarbeyla,SO,78.03,few clouds,9.4942,50.8122,JABIR HOTEL
108,Lompoc,US,86.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
109,Sola,VU,82.17,overcast clouds,-13.8833,167.55,Leumerus Bungalows
112,Sao Filipe,CV,75.99,overcast clouds,14.8961,-24.4956,Hotel Xaguate
115,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
118,Hithadhoo,MV,81.05,scattered clouds,-0.6,73.0833,Scoop Guest House
122,Bengkulu,ID,75.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
123,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
129,Buchanan,LR,79.7,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
133,Maunabo,PR,89.42,scattered clouds,18.0072,-65.8993,Maunacaribe
136,Xuddur,SO,78.58,overcast clouds,4.1213,43.8894,Banjanay Hotel
146,Sabang,ID,76.84,light rain,5.8933,95.3214,Hotel Citra
148,Quarai,BR,81.75,few clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
158,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
161,Aden,YE,80.38,clear sky,12.7794,45.0367,Sama Emirate Hotel
166,Barstow,US,80.29,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
169,Samarai,PG,82.56,scattered clouds,-10.6167,150.6667,Nuli Sapi
174,The Valley,AI,85.86,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
175,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
179,Kavieng,PG,82.49,light rain,-2.5744,150.7967,Nusa Island Retreat
180,Saint-Philippe,RE,76.55,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
184,Kieta,PG,81.59,light rain,-6.2167,155.6333,Uruna Bay Retreat
189,Saint-Joseph,RE,75.56,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
193,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
196,Padang,ID,75.96,broken clouds,-0.9492,100.3543,Mercure Padang
197,Kulhudhuffushi,MV,78.58,moderate rain,6.6221,73.07,Haajy Guest House 1
201,Phan Thiet,VN,75.13,overcast clouds,10.9333,108.1,Hotel Saigon-PT
206,Cidreira,BR,76.73,scattered clouds,-30.1811,-50.2056,Hotel Castelo
209,Lamesa,US,78.06,clear sky,32.7376,-101.951,Shiloh Inn Lamesa
214,Muisne,EC,82.51,overcast clouds,0.6,-80.0333,Quinta Samay
215,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
219,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
220,Pauini,BR,81.72,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
225,Marang,MY,76.93,overcast clouds,5.2056,103.2059,DBarakah Homestay
228,Topeka,US,75.11,clear sky,39.0483,-95.678,Hotel Topeka At City Center
230,Lorengau,PG,82.26,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
236,Arica,CL,76.55,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
240,Casambalangan,PH,76.86,overcast clouds,18.3765,122.1274,Villa Saturnina
