City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tiksi,RU,2021-11-24 05:50:34,71.6872,128.8694,-20.54,99,42,7.49
1,Ipixuna,BR,2021-11-24 05:50:34,-1.7625,-48.8043,76.95,96,96,3.06
2,Waingapu,ID,2021-11-24 05:50:35,-9.6567,120.2641,86.54,65,99,7.61
3,Butaritari,KI,2021-11-24 05:50:35,3.0707,172.7902,81.86,72,65,9.64
4,Laguna,US,2021-11-24 05:49:08,38.421,-121.4238,57.7,62,1,1.99
5,Cayenne,GF,2021-11-24 05:50:35,4.9333,-52.3333,81.09,85,30,4.0
6,Busselton,AU,2021-11-24 05:50:35,-33.65,115.3333,83.08,42,0,13.71
7,Taunggyi,MM,2021-11-24 05:50:36,20.7833,97.0333,73.31,49,1,5.32
8,Atuona,PF,2021-11-24 05:50:36,-9.8,-139.0333,77.77,77,42,12.86
9,Ushuaia,AR,2021-11-24 05:47:56,-54.8,-68.3,42.46,81,75,6.91
10,Klaksvik,FO,2021-11-24 05:50:36,62.2266,-6.589,38.32,60,58,30.44
11,Shaunavon,CA,2021-11-24 05:50:37,49.6501,-108.4181,15.58,82,100,16.11
12,Hermanus,ZA,2021-11-24 05:50:37,-34.4187,19.2345,66.9,72,93,12.91
13,Kahului,US,2021-11-24 05:47:14,20.8947,-156.47,75.22,77,40,5.75
14,Carnarvon,AU,2021-11-24 05:45:57,-24.8667,113.6333,89.67,37,0,14.97
15,Raudeberg,NO,2021-11-24 05:50:37,61.9875,5.1352,48.2,93,100,13.0
16,Nikolskoye,RU,2021-11-24 05:50:38,59.7035,30.7861,35.87,96,100,15.05
17,Hilo,US,2021-11-24 05:47:13,19.7297,-155.09,72.1,88,20,4.61
18,Esperance,AU,2021-11-24 05:50:38,-33.8667,121.9,67.84,57,0,11.9
19,Dumas,US,2021-11-24 05:50:38,35.8656,-101.9732,63.82,33,1,20.71
20,Chico,US,2021-11-24 05:50:14,39.7285,-121.8375,53.49,59,1,9.22
21,North Bend,US,2021-11-24 05:50:39,43.4065,-124.2243,43.86,99,75,5.75
22,Rikitea,PF,2021-11-24 05:50:39,-23.1203,-134.9692,76.41,83,93,14.99
23,Tianpeng,CN,2021-11-24 05:50:39,30.9866,103.9393,57.67,51,44,3.91
24,Cabo San Lucas,MX,2021-11-24 05:50:01,22.8909,-109.9124,73.51,74,74,1.99
25,Hithadhoo,MV,2021-11-24 05:50:40,-0.6,73.0833,82.02,77,79,19.6
26,Padang,ID,2021-11-24 05:48:36,-0.9492,100.3543,89.65,63,100,5.88
27,Thompson,CA,2021-11-24 05:47:22,55.7435,-97.8558,-12.84,77,1,11.5
28,Bredasdorp,ZA,2021-11-24 05:50:40,-34.5322,20.0403,63.28,68,100,12.77
29,Punta Arenas,CL,2021-11-24 05:50:41,-53.15,-70.9167,42.91,75,40,12.66
30,Nanortalik,GL,2021-11-24 05:50:41,60.1432,-45.2371,36.48,94,100,13.11
31,Bethel,US,2021-11-24 05:50:41,41.3712,-73.414,31.57,66,1,3.0
32,Porto Novo,BJ,2021-11-24 05:49:34,6.4965,2.6036,82.22,87,41,1.81
33,Tambopata,PE,2021-11-24 05:50:42,-12.7333,-69.1833,70.57,99,100,2.35
34,Mataura,NZ,2021-11-24 05:47:06,-46.1927,168.8643,59.86,55,100,6.15
35,Bluff,NZ,2021-11-24 05:50:42,-46.6,168.3333,57.33,72,100,15.48
36,Saskylakh,RU,2021-11-24 05:50:42,71.9167,114.0833,-17.01,89,32,12.3
37,Qaanaaq,GL,2021-11-24 05:50:43,77.484,-69.3632,-6.59,66,33,6.76
38,Cidreira,BR,2021-11-24 05:45:30,-30.1811,-50.2056,63.16,70,0,6.13
39,Castro,BR,2021-11-24 05:50:43,-24.7911,-50.0119,58.98,97,100,8.16
40,Dikson,RU,2021-11-24 05:50:43,73.5069,80.5464,8.35,91,100,8.34
41,Vostok,RU,2021-11-24 05:50:44,46.4856,135.8833,11.98,93,100,7.54
42,Narsaq,GL,2021-11-24 05:50:44,60.9167,-46.05,28.76,92,100,11.32
43,Chuy,UY,2021-11-24 05:50:44,-33.6971,-53.4616,51.28,83,0,4.7
44,Puerto Ayora,EC,2021-11-24 05:50:45,-0.7393,-90.3518,68.76,82,21,7.07
45,Albany,US,2021-11-24 05:48:49,42.6001,-73.9662,27.63,69,1,1.99
46,Kazerun,IR,2021-11-24 05:51:45,29.6195,51.6541,64.56,42,0,2.19
47,Saint George,US,2021-11-24 05:47:06,37.1041,-113.5841,54.36,39,1,8.99
48,Kihei,US,2021-11-24 05:51:45,20.785,-156.4656,75.85,78,40,5.75
49,Marawi,PH,2021-11-24 05:51:46,7.9986,124.2928,77.65,88,86,5.19
50,Grindavik,IS,2021-11-24 05:51:46,63.8424,-22.4338,34.27,69,75,25.32
51,Venado Tuerto,AR,2021-11-24 05:47:02,-33.7456,-61.9688,60.78,26,0,8.72
52,Srandakan,ID,2021-11-24 05:51:46,-7.9386,110.2506,84.92,71,100,7.9
53,Codrington,AU,2021-11-24 05:51:47,-38.2667,141.9667,64.47,76,70,11.61
54,Bima,ID,2021-11-24 05:51:47,-8.4667,118.7167,86.56,70,77,1.9
55,Puerto Ayacucho,VE,2021-11-24 05:51:47,5.6639,-67.6236,73.33,96,94,4.12
56,Hamilton,US,2021-11-24 05:47:02,39.1834,-84.5333,34.75,71,1,1.01
57,Emerald,AU,2021-11-24 05:51:48,-23.5333,148.1667,94.98,10,40,17.27
58,Torbay,CA,2021-11-24 05:51:48,47.6666,-52.7314,45.28,97,90,26.46
59,Mugur-Aksy,RU,2021-11-24 05:51:48,50.35,90.5,23.88,81,82,4.83
60,Asau,RO,2021-11-24 05:51:48,46.4333,26.4,39.76,91,99,2.39
61,Kamenka,RU,2021-11-24 05:51:49,51.3223,42.7678,16.75,72,58,3.76
62,Port Alfred,ZA,2021-11-24 05:51:49,-33.5906,26.891,62.58,71,84,9.37
